N,P,K,temperatura,umidade,ph,chuva,cultura,irrigacao,rendimento
1,0,1,21.8,54.7,4.81,92.1,cafe,LIGADA,120.0
0,1,1,34.8,68.2,6.84,168.0,soja,LIGADA,159.02
0,0,0,29.8,58.3,5.85,159.9,milho,DESLIGADA,115.02
1,1,0,32.3,28.8,6.41,125.7,milho,LIGADA,97.23
1,1,1,22.7,81.5,5.96,233.3,soja,DESLIGADA,236.16
1,0,0,22.1,88.1,7.01,44.4,trigo,DESLIGADA,151.55
0,0,1,21.0,57.2,5.24,42.1,cafe,LIGADA,92.31
0,1,1,28.6,25.5,4.76,145.1,soja,DESLIGADA,88.7
1,0,1,31.3,52.0,6.3,105.4,cafe,LIGADA,132.62
1,0,1,31.2,42.6,5.07,199.3,trigo,DESLIGADA,129.13
1,1,0,32.4,33.2,7.29,242.5,soja,DESLIGADA,132.27
1,0,0,32.5,52.7,5.34,187.7,milho,DESLIGADA,123.44
1,0,1,22.7,49.9,6.67,140.0,trigo,LIGADA,145.21
0,0,0,32.7,75.4,6.71,142.6,soja,LIGADA,134.96
1,1,0,24.8,60.6,6.31,91.2,soja,DESLIGADA,151.58
1,1,0,20.8,40.5,6.86,160.5,cafe,LIGADA,131.18
1,0,0,33.9,88.6,6.04,104.6,cafe,DESLIGADA,159.96
1,0,1,27.0,32.8,6.68,202.8,trigo,LIGADA,143.88
0,1,1,26.6,58.1,6.63,171.7,soja,DESLIGADA,164.9
1,1,0,30.8,78.8,7.29,62.3,soja,DESLIGADA,148.81
0,0,1,24.8,88.4,5.9,124.4,trigo,DESLIGADA,177.32
0,1,1,31.1,52.9,7.1,142.9,cafe,DESLIGADA,132.82
1,0,0,23.5,88.6,7.38,237.3,milho,DESLIGADA,211.53
0,0,0,24.7,61.6,4.95,38.0,soja,DESLIGADA,81.6
1,1,1,30.2,27.3,5.24,227.4,trigo,LIGADA,135.65
0,1,1,26.4,22.1,7.15,157.1,soja,LIGADA,100.68
1,1,1,27.2,67.1,7.36,134.1,cafe,DESLIGADA,179.16
0,1,0,21.9,78.5,5.12,160.4,trigo,LIGADA,158.11
0,1,1,27.9,62.2,5.27,136.3,cafe,LIGADA,144.63
1,1,1,28.3,23.7,5.61,47.4,milho,DESLIGADA,83.49
1,0,0,24.0,54.3,6.59,181.9,milho,DESLIGADA,154.94
0,0,1,21.1,24.6,5.29,74.5,cafe,DESLIGADA,53.93
1,1,0,32.4,65.2,5.42,91.9,soja,LIGADA,134.61
0,1,0,28.5,24.6,5.96,181.5,soja,LIGADA,94.87
0,0,1,31.3,61.2,5.35,76.1,cafe,LIGADA,103.23
0,1,0,22.0,72.6,7.15,56.2,trigo,LIGADA,125.96
1,1,0,24.3,39.6,7.08,203.6,cafe,LIGADA,149.12
0,0,1,30.1,28.4,5.56,117.5,milho,DESLIGADA,74.37
0,0,1,23.1,39.5,4.8,37.7,milho,DESLIGADA,66.36
1,0,0,23.1,80.2,5.01,232.0,milho,LIGADA,190.22
0,0,0,26.6,50.0,4.56,64.7,trigo,DESLIGADA,67.93
0,0,0,29.9,73.7,5.14,180.2,trigo,DESLIGADA,137.49
1,0,1,34.6,88.4,7.41,96.7,cafe,DESLIGADA,169.49
1,0,0,32.2,61.5,6.05,46.4,soja,DESLIGADA,103.37
1,0,1,29.5,79.0,5.19,175.8,soja,DESLIGADA,182.52
1,0,1,28.4,58.5,6.27,240.2,soja,LIGADA,188.25
1,0,0,29.9,76.7,7.21,14.1,soja,DESLIGADA,122.96
1,1,1,25.6,48.8,4.69,76.0,cafe,DESLIGADA,123.08
0,0,1,31.6,27.1,7.33,24.9,milho,DESLIGADA,41.96
0,1,1,27.2,79.9,5.65,220.5,milho,DESLIGADA,203.4
