Data,Temp_Media_C,Temp_Max_C,Chuva_mm,Umidade_Ar_pct,Vento_2m_ms,Rajada_Max_ms,Radiacao_MJ_m2,UmidAr_OM_pct,Chuva_OM_mm,Vento_OM_ms,Evapotransp_mm_dia,Risco_Queimada_0_100,Classe_Risco
27/02/2026,21.91,28.34,0.0,64.93,1.91,5.11,24.55,74.625,0.5,7.066666666666666,4.14,53.4,Alto
28/02/2026,22.19,28.83,0.0,68.74,2.51,6.32,24.43,71.45833333333333,0.0,11.591666666666667,4.77,54.8,Alto
01/03/2026,22.67,28.92,0.0,68.37,3.18,7.09,23.89,68.125,0.0,13.924999999999999,4.98,56.9,Alto
02/03/2026,23.67,31.19,0.0,69.32,3.26,7.51,25.38,67.83333333333333,0.1,14.9,5.57,58.9,Alto
03/03/2026,25.57,33.74,0.0,66.83,2.52,6.72,25.68,65.375,0.0,12.241666666666667,5.9,61.1,Muito Alto
04/03/2026,26.33,35.46,1.55,67.62,2.29,6.67,24.35,69.16666666666667,0.0,9.762500000000001,5.7700000000000005,59.3,Alto
05/03/2026,25.9,32.73,0.67,70.94,2.47,6.27,24.17,71.66666666666667,0.0,9.595833333333333,5.25,56.6,Alto
06/03/2026,25.6,32.26,5.24,76.64,2.94,6.41,22.09,70.375,0.1,10.616666666666667,5.35,51.1,Alto
07/03/2026,25.4,32.41,4.74,76.57,3.13,7.05,14.67,79.70833333333333,6.6,11.5625,3.8000000000000003,48.7,Alto
08/03/2026,23.46,28.35,0.98,70.53,3.48,7.68,20.26,75.75,0.6,11.341666666666667,4.43,53.2,Alto
09/03/2026,21.7,25.17,1.16,69.64,3.77,7.33,5.97,70.08333333333333,0.0,13.9125,3.06,51.5,Alto
10/03/2026,21.16,23.81,1.43,82.15,3.81,7.47,12.75,77.54166666666667,0.2,12.454166666666666,3.51,45.6,Alto
11/03/2026,22.04,25.45,0.38,83.8,2.73,5.2,14.25,78.45833333333333,2.5,10.020833333333334,3.62,45.6,Alto
12/03/2026,24.28,30.37,2.97,75.8,1.63,3.31,15.85,78.91666666666667,2.9,6.029166666666666,4.13,47.5,Alto
13/03/2026,23.83,30.5,0.36,73.6,1.9,3.57,22.82,77.66666666666667,0.5,8.170833333333333,4.15,51.5,Alto
14/03/2026,23.98,31.2,0.05,67.56,1.52,3.56,23.63,75.125,0.0,6.104166666666667,4.78,54.5,Alto
15/03/2026,24.78,33.55,0.0,65.33,1.66,5.39,23.47,72.91666666666667,0.0,7.220833333333334,5.08,57.8,Alto
16/03/2026,27.11,36.69,0.08,70.45,2.25,6.69,22.25,75.79166666666667,0.0,9.5375,4.8999999999999995,58.6,Alto
17/03/2026,26.41,31.09,9.54,80.02,1.54,4.2,6.0,84.70833333333333,10.3,6.9750000000000005,2.54,37.5,Moderado
18/03/2026,26.79,32.19,4.05,80.73,1.64,3.49,15.3,86.41666666666667,14.700000000000001,5.083333333333333,3.84,44.4,Alto
19/03/2026,25.73,31.49,1.79,82.03,3.11,6.58,18.31,84.66666666666667,0.7000000000000001,10.304166666666667,3.77,48.4,Alto
20/03/2026,25.32,31.73,0.13,78.21,3.06,6.83,21.18,83.04166666666667,0.2,11.049999999999999,4.14,51.9,Alto
21/03/2026,27.71,36.45,5.74,71.23,1.92,4.13,17.35,79.75,0.0,10.445833333333333,4.73,51.1,Alto
22/03/2026,24.64,27.9,5.56,81.02,2.36,5.04,9.44,85.45833333333333,2.1,10.016666666666667,1.8,39.4,Moderado
23/03/2026,26.65,34.4,11.64,80.26,2.04,3.8,9.27,87.375,10.700000000000001,8.254166666666666,3.31,38.5,Moderado
24/03/2026,23.46,26.83,8.07,80.1,2.5,5.45,15.95,85.5,8.9,9.758333333333333,1.6300000000000001,36.4,Moderado
25/03/2026,23.19,27.52,3.41,85.67,3.07,5.84,5.89,85.66666666666667,16.8,9.7875,2.31,41.4,Alto
26/03/2026,24.55,29.08,1.47,87.3,2.32,4.49,12.15,88.33333333333333,0.0,9.316666666666666,2.34,42.3,Alto
27/03/2026,27.35,34.23,0.12,78.17,1.43,4.11,20.55,84.08333333333333,0.6000000000000001,4.520833333333333,4.02,50.9,Alto
28/03/2026,28.27,35.68,0.05,74.87,1.63,3.94,20.19,77.08333333333333,0.0,5.2,4.36,55.0,Alto
29/03/2026,28.23,34.75,0.09,73.87,1.57,4.64,19.87,78.83333333333333,1.4,6.5625,4.07,53.9,Alto
30/03/2026,26.14,31.24,1.29,79.86,2.32,5.23,9.44,88.125,3.8,8.008333333333333,2.83,46.6,Alto
31/03/2026,24.92,30.97,0.35,73.62,4.31,8.29,20.36,80.33333333333333,0.1,14.495833333333332,4.2,54.9,Alto
01/04/2026,24.11,31.47,0.0,68.37,1.85,5.07,20.4,76.08333333333333,0.0,7.570833333333333,4.12,54.3,Alto
02/04/2026,25.49,32.15,0.13,67.58,1.48,4.13,19.41,79.625,0.30000000000000004,4.883333333333334,3.98,53.4,Alto
03/04/2026,25.75,32.31,0.05,71.38,1.6,3.98,18.96,81.83333333333333,0.2,4.795833333333333,3.53,51.9,Alto
04/04/2026,25.51,33.08,3.22,74.17,2.35,7.76,16.3,82.41666666666667,0.5,7.291666666666667,3.64,49.5,Alto
05/04/2026,21.68,25.77,4.5,73.99,3.49,6.4,9.41,80.79166666666667,4.8,14.137500000000001,1.75,43.6,Alto
06/04/2026,23.54,29.46,3.75,75.35,3.51,6.65,15.23,73.08333333333333,0.0,15.108333333333334,3.54,49.7,Alto
07/04/2026,27.14,34.55,9.68,71.53,2.64,5.64,4.29,89.625,19.7,11.233333333333334,1.29,41.8,Alto
08/04/2026,22.57,27.07,2.06,74.76,5.43,11.27,16.13,80.0,5.5,21.941666666666666,3.0100000000000002,50.9,Alto
09/04/2026,20.46,25.65,0.69,75.06,2.7,5.44,19.25,77.5,0.8,11.4625,3.3000000000000003,47.8,Alto
10/04/2026,19.67,25.58,0.05,69.6,1.77,3.48,18.86,75.875,0.2,5.125,3.3,48.9,Alto
