umidade_solo,declividade,chuva_24h,temperatura,velocidade,idade_maquina,horas_operacao,status_operacao,score_risco,risco,recomendacao
36.42,14.66,9.9,38.44,13.68,11.24,10.67,Manobra,45.86,MEDIO,Pausa recomendada - risco de fadiga
52.3,26.79,28.39,44.29,22.83,14.81,9.45,Colheita,76.42,ALTO,Atencao a inclinacao - reduzir velocidade
33.51,25.16,17.68,42.04,15.08,12.09,11.88,Deslocamento,71.29,ALTO,Atencao a inclinacao - reduzir velocidade
30.87,20.38,5.69,34.26,11.07,8.67,8.04,Deslocamento,37.04,MEDIO,Reduzir velocidade
28.79,4.42,3.44,23.8,9.89,5.59,7.06,Deslocamento,6.46,BAIXO,Seguir rota atual
9.6,9.07,6.67,26.41,9.13,3.45,7.82,Manobra,5.05,BAIXO,Seguir rota atual
36.09,6.55,2.66,33.27,10.16,3.43,4.16,Colheita,18.89,BAIXO,Seguir rota atual
48.59,22.97,35.81,39.99,18.93,13.9,12.47,Deslocamento,72.56,ALTO,Atencao a inclinacao - reduzir velocidade
49.3,19.0,25.87,39.36,14.85,14.02,7.75,Manobra,72.56,ALTO,Interromper operacao
42.29,22.5,21.94,40.87,22.37,10.09,8.94,Deslocamento,76.82,ALTO,Atencao a inclinacao - reduzir velocidade
15.64,5.78,2.09,31.95,9.84,3.29,3.34,Colheita,4.82,BAIXO,Seguir rota atual
52.36,25.34,51.33,43.61,15.94,18.64,14.0,Deslocamento,78.43,ALTO,Atencao a inclinacao - reduzir velocidade
46.94,25.84,47.86,44.0,24.63,20.0,11.65,Colheita,75.71,ALTO,Atencao a inclinacao - reduzir velocidade
14.41,2.48,1.81,25.83,10.59,3.45,5.45,Colheita,10.81,BAIXO,Seguir rota atual
19.89,12.75,11.58,23.35,6.02,8.13,6.36,Manobra,10.03,BAIXO,Seguir rota atual
32.93,10.34,2.92,28.95,9.22,7.46,6.01,Deslocamento,8.03,BAIXO,Seguir rota atual
27.47,12.68,8.15,29.24,6.67,5.44,7.41,Manobra,0.0,BAIXO,Seguir rota atual
28.46,21.47,6.03,36.11,15.84,8.57,9.09,Manobra,30.86,MEDIO,Atencao a inclinacao - reduzir velocidade
24.12,22.99,11.23,43.0,11.08,8.66,9.5,Deslocamento,44.35,MEDIO,Reduzir velocidade
31.04,7.62,4.84,29.04,7.37,3.66,5.39,Colheita,8.76,BAIXO,Seguir rota atual
46.44,18.92,19.06,37.9,18.59,7.43,8.88,Colheita,68.76,ALTO,Atencao a inclinacao - reduzir velocidade
22.64,14.26,3.8,23.22,10.76,0.66,0.6,Colheita,11.26,BAIXO,Seguir rota atual
23.08,5.99,0.94,29.54,7.49,3.31,2.44,Manobra,3.47,BAIXO,Seguir rota atual
41.98,22.6,7.5,43.0,8.79,3.42,7.62,Colheita,31.11,MEDIO,Reduzir velocidade
34.64,20.97,6.79,37.41,8.25,12.33,8.84,Colheita,40.73,MEDIO,Reduzir velocidade
46.7,23.03,21.65,41.71,16.34,13.93,12.66,Deslocamento,71.72,ALTO,Atencao a inclinacao - reduzir velocidade
21.38,10.84,3.73,33.2,5.65,10.4,4.92,Colheita,8.6,BAIXO,Seguir rota atual
23.55,20.51,4.59,39.36,10.04,6.66,5.22,Colheita,29.58,MEDIO,Reduzir velocidade
31.38,10.3,0.08,39.04,14.36,9.28,7.07,Deslocamento,32.91,MEDIO,Reduzir velocidade
19.67,7.99,0.52,33.52,8.75,4.34,5.05,Colheita,0.73,BAIXO,Seguir rota atual
41.25,15.87,16.02,37.95,12.0,11.16,13.6,Colheita,47.87,MEDIO,Pausa recomendada - risco de fadiga
24.49,5.72,5.72,33.0,8.85,5.18,3.71,Colheita,4.27,BAIXO,Seguir rota atual
24.89,9.57,6.69,29.18,9.1,3.39,7.63,Deslocamento,3.81,BAIXO,Seguir rota atual
50.99,30.0,38.11,45.0,22.79,12.05,11.03,Deslocamento,75.6,ALTO,Atencao a inclinacao - reduzir velocidade
48.4,28.27,50.23,41.28,21.9,20.0,14.0,Deslocamento,75.13,ALTO,Atencao a inclinacao - reduzir velocidade
42.62,22.11,18.96,41.84,11.93,11.23,6.66,Deslocamento,57.1,ALTO,Interromper operacao
22.79,10.59,2.55,33.87,4.55,0.61,5.45,Colheita,1.86,BAIXO,Seguir rota atual
27.33,14.74,2.62,31.39,6.92,4.48,6.77,Manobra,4.69,BAIXO,Seguir rota atual
43.91,17.27,29.81,44.14,13.12,13.19,10.99,Colheita,54.23,ALTO,Pausa recomendada - risco de fadiga
37.09,17.8,4.64,35.9,15.52,9.63,8.26,Deslocamento,28.48,MEDIO,Atencao a inclinacao - reduzir velocidade
25.4,0.0,7.45,17.3,6.28,1.64,2.41,Manobra,9.17,BAIXO,Seguir rota atual
44.29,18.13,9.73,35.81,13.43,8.23,6.43,Manobra,30.84,MEDIO,Reduzir velocidade
26.97,6.02,0.0,23.86,10.0,7.55,4.3,Colheita,11.23,BAIXO,Seguir rota atual
48.25,26.04,65.77,44.15,23.72,17.09,12.48,Colheita,78.28,ALTO,Atencao a inclinacao - reduzir velocidade
18.19,7.21,3.79,25.81,8.46,5.16,6.47,Deslocamento,1.16,BAIXO,Seguir rota atual
39.52,22.24,2.01,42.75,16.04,14.99,4.21,Colheita,47.5,MEDIO,Atencao a inclinacao - reduzir velocidade
34.62,7.44,7.32,20.8,8.23,1.84,3.75,Manobra,4.98,BAIXO,Seguir rota atual
50.0,19.24,9.09,39.48,13.49,8.45,9.73,Deslocamento,70.46,ALTO,Interromper operacao
50.0,19.77,9.01,40.2,15.32,11.56,10.28,Deslocamento,73.08,ALTO,Atencao a inclinacao - reduzir velocidade
12.0,14.53,0.56,27.51,5.49,4.81,5.66,Colheita,5.16,BAIXO,Seguir rota atual
51.61,28.27,61.14,44.36,21.02,16.89,14.0,Manobra,76.44,ALTO,Atencao a inclinacao - reduzir velocidade
32.63,23.79,23.61,39.11,19.13,11.55,10.25,Deslocamento,64.67,ALTO,Atencao a inclinacao - reduzir velocidade
49.13,27.05,34.04,38.68,28.38,11.46,10.02,Manobra,75.98,ALTO,Atencao a inclinacao - reduzir velocidade
39.23,25.08,31.77,45.0,26.04,11.94,14.0,Colheita,74.04,ALTO,Atencao a inclinacao - reduzir velocidade
42.85,18.7,0.0,43.0,7.83,3.06,11.05,Colheita,34.01,MEDIO,Pausa recomendada - risco de fadiga
62.2,30.0,50.64,44.78,25.41,16.28,12.56,Colheita,77.45,ALTO,Atencao a inclinacao - reduzir velocidade
20.73,7.75,1.74,24.6,3.61,4.7,3.02,Colheita,5.39,BAIXO,Seguir rota atual
12.27,8.72,8.18,30.59,3.86,2.03,6.88,Deslocamento,7.17,BAIXO,Seguir rota atual
13.12,7.1,5.65,21.16,7.21,1.0,3.8,Manobra,2.42,BAIXO,Seguir rota atual
22.24,1.63,5.32,25.9,8.1,5.67,7.73,Colheita,5.39,BAIXO,Seguir rota atual
36.0,18.28,8.61,38.17,12.15,8.12,7.6,Manobra,36.43,MEDIO,Reduzir velocidade
15.36,2.39,9.25,19.78,5.61,2.84,6.79,Colheita,6.38,BAIXO,Seguir rota atual
48.53,30.0,38.27,43.84,18.66,20.0,9.62,Colheita,78.04,ALTO,Atencao a inclinacao - reduzir velocidade
37.48,22.54,10.07,35.26,11.61,8.13,8.71,Colheita,44.42,MEDIO,Reduzir velocidade
26.75,16.84,2.33,19.15,6.82,12.0,3.39,Colheita,9.32,BAIXO,Seguir rota atual
48.11,26.71,5.23,38.28,16.89,6.86,8.59,Manobra,73.92,ALTO,Atencao a inclinacao - reduzir velocidade
15.93,3.94,2.05,19.88,7.07,2.69,5.47,Colheita,5.29,BAIXO,Seguir rota atual
30.66,22.99,24.67,34.02,16.12,15.68,7.58,Deslocamento,42.63,MEDIO,Atencao a inclinacao - reduzir velocidade
31.71,9.68,1.88,25.72,8.12,5.23,6.08,Colheita,7.34,BAIXO,Seguir rota atual
45.4,27.51,30.86,42.67,18.38,11.79,14.0,Manobra,75.42,ALTO,Atencao a inclinacao - reduzir velocidade
